iucn_sid,sciname,worms_name,mapped
154753,hypleurochilus bananensis,hypleurochilus bananensis,TRUE
154754,mataeocephalus tenuicauda,mataeocephalus tenuicauda,FALSE
154755,genyonemus lineatus,genyonemus lineatus,FALSE
154756,scorpaenopsis altirostris,scorpaenopsis altirostris,FALSE
154757,callionymus platycephalus,callionymus platycephalus,FALSE
154758,astrabe fasciata,astrabe fasciata,FALSE
154759,spratelloides gracilis,spratelloides gracilis,TRUE
154760,chromis alpha,chromis alpha,FALSE
154761,zenarchopterus pappenheimi,zenarchopterus pappenheimi,FALSE
154762,chlopsis kazuko,chlopsis kazuko,FALSE
154763,axoclinus multicinctus,axoclinus multicinctus,TRUE
154764,opistognathus maxillosus,opistognathus maxillosus,FALSE
154765,ancylopsetta cycloidea,ancylopsetta cycloidea,FALSE
154766,xestochilus nebulosus,xestochilus nebulosus,FALSE
154767,membras martinica,membras martinica,FALSE
154768,iluocoetes elongatus,argentinolycus elongatus,FALSE
154769,silhouettea evanida,silhouettea evanida,FALSE
154770,pariah scotius,pariah scotius,FALSE
154771,anoplocapros inermis,anoplocapros inermis,FALSE
154772,synchiropus grandoculis,synchiropus grandoculis,FALSE
154773,ocosia possi,ocosia possi,FALSE
154774,nematalosa nasus,nematalosa nasus,TRUE
154775,emblemariopsis signifer,emblemariopsis signifer,TRUE
154776,ebinania brephocephala,ebinania brephocephala,FALSE
154777,ophidion fulvum,ophidion fulvum,FALSE
154778,paraliparis megalopus,paraliparis megalopus,FALSE
154779,paratrachichthys fernandezianus,paratrachichthys fernandezianus,FALSE
154780,siphonognathus beddomei,siphonognathus beddomei,TRUE
154781,coryphaenoides ariommus,coryphaenoides ariommus,FALSE
154782,cynoscion praedatorius,cynoscion praedatorius,FALSE
154783,artedielloides auriculatus,artedielloides auriculatus,FALSE
154784,cryptocentrus leonis,cryptocentrus leonis,FALSE
154785,pleuragramma antarctica,pleuragramma antarctica,FALSE
154786,amblyeleotris callopareia,amblyeleotris callopareia,FALSE
154787,neobythites franzi,neobythites franzi,FALSE
154788,hemitaurichthys thompsoni,hemitaurichthys thompsoni,TRUE
154789,krefftichthys anderssoni,krefftichthys anderssoni,FALSE
154790,triglops forficatus,triglops forficatus,FALSE
154791,halieutopsis tumifrons,halieutopsis tumifrons,FALSE
154792,anodontostoma thailandiae,anodontostoma thailandiae,TRUE
154793,jenkinsia lamprotaenia,jenkinsia lamprotaenia,TRUE
154794,oneirodes schmidti,oneirodes schmidti,FALSE
154795,poecilopsetta albomaculata,poecilopsetta albomaculata,FALSE
154796,chaenopsis coheni,chaenopsis coheni,TRUE
154797,eptatretus mendozai,eptatretus mendozai,TRUE
154798,thalassobathia pelagica,thalassobathia pelagica,FALSE
154799,serranus tigrinus,serranus tigrinus,FALSE
154801,talismania mekistonema,talismania mekistonema,FALSE
154802,secutor hanedai,secutor hanedai,FALSE
154803,venefica tentaculata,venefica tentaculata,FALSE
154804,sciades couma,sciades couma,FALSE
154805,sicyases hildebrandi,sicyases hildebrandi,FALSE
154806,zalieutes mcgintyi,zalieutes mcgintyi,FALSE
154807,caranx crysos,caranx crysos,FALSE
154808,racovitzia glacialis,racovitzia glacialis,FALSE
154809,apolemichthys kingi,apolemichthys kingi,TRUE
154811,starksia leucovitta,starksia leucovitta,TRUE
154812,amphiprion sandaracinos,amphiprion sandaracinos,FALSE
154813,aphanopus mikhailini,aphanopus mikhailini,FALSE
154814,sardinella fijiense,sardinella fijiense,TRUE
154815,astronesthes richardsoni,astronesthes richardsoni,FALSE
154816,sebastes mentella,sebastes mentella,FALSE
154817,malacoctenus zonogaster,malacoctenus zonogaster,TRUE
154818,acanthurus gahhm,acanthurus gahhm,TRUE
154819,hoplolatilus fourmanoiri,hoplolatilus fourmanoiri,FALSE
154820,alepisaurus ferox,alepisaurus ferox,FALSE
154821,psednos andriashevi,psednos andriashevi,FALSE
154822,pterotolithus maculatus,pterotolithus maculatus,FALSE
154823,silhouettea aegyptia,silhouettea aegyptia,FALSE
154825,eptatretus cirrhatus,eptatretus cirrhatus,TRUE
154827,inimicus caledonicus,inimicus caledonicus,FALSE
154828,umbrina broussonnetii,umbrina broussonnetii,FALSE
154829,parablennius yatabei,parablennius yatabei,TRUE
154830,pyramodon lindas,pyramodon lindas,FALSE
154831,chromis punctipinnis,chromis punctipinnis,FALSE
154832,gymnapogon melanogaster,gymnapogon melanogaster,FALSE
154833,bothus mancus,bothus mancus,FALSE
154834,helcogramma inclinata,helcogramma inclinata,TRUE
154835,cabillus macrophthalmus,cabillus macrophthalmus,FALSE
154836,schindleria praematura,schindleria praematura,FALSE
154837,nemaclinus atelestos,nemaclinus atelestos,TRUE
154838,lepidion eques,lepidion eques,FALSE
154840,bollmannia stigmatura,bollmannia stigmatura,FALSE
154841,dotalabrus alleni,dotalabrus alleni,TRUE
154842,tomicodon rhabdotus,tomicodon rhabdotus,FALSE
154843,rimicola sila,rimicola sila,FALSE
154844,platybelone argalus,platybelone argalus,FALSE
154845,lyopsetta exilis,lyopsetta exilis,FALSE
154846,barbuligobius boehlkei,barbuligobius boehlkei,FALSE
154847,citharichthys mariajorisae,citharichthys mariajorisae,FALSE
154848,gnatholepis cauerensis,gnatholepis cauerensis,FALSE
154849,helcogramma springeri,helcogramma springeri,TRUE
154850,myripristis pralinia,myripristis pralinia,FALSE
154851,zanclorhynchus spinifer,zanclorhynchus spinifer,FALSE
154852,careproctus cactiformis,careproctus cactiformis,FALSE
154853,syngnathus floridae,syngnathus floridae,TRUE
154854,hephthocara simum,hephthocara simum,FALSE
154855,hippichthys spicifer,hippichthys spicifer,TRUE
154856,chromis pembae,chromis pembae,FALSE
154857,silhouettea nuchipunctatus,silhouettea nuchipunctata,FALSE
154858,zesticelus bathybius,zesticelus bathybius,FALSE
154859,lampadena pontifex,lampadena pontifex,FALSE
154860,facciolella karreri,facciolella karreri,FALSE
154861,istigobius rigilius,istigobius rigilius,FALSE
154862,scartelaos cantoris,scartelaos cantoris,FALSE
154863,parioglossus taeniatus,parioglossus taeniatus,FALSE
154865,monomitopus agassizii,monomitopus agassizii,FALSE
154866,pholis ornata,pholis ornata,FALSE
154867,sphagemacrurus gibber,sphagemacrurus gibber,FALSE
154868,cirrhilabrus rhomboidalis,cirrhilabrus rhomboidalis,TRUE
154869,myctophum spinosum,myctophum spinosum,FALSE
154870,parapercis colias,parapercis colias,FALSE
154871,ctenogobius thoropsis,ctenogobius thoropsis,FALSE
154872,apogon compressus,ostorhinchus compressus,FALSE
154873,porichthys oculellus,porichthys oculellus,FALSE
154874,hetereleotris georgegilli,hetereleotris georgegilli,FALSE
154875,cynoscion acoupa,cynoscion acoupa,FALSE
154876,aioliops brachypterus,aioliops brachypterus,FALSE
154877,apodocreedia vanderhorsti,apodocreedia vanderhorsti,FALSE
154878,pomacentrus smithi,pomacentrus smithi,FALSE
154879,polyipnus elongatus,polyipnus elongatus,FALSE
154880,gaidropsarus macrophthalmus,gaidropsarus macrophthalmus,FALSE
154881,porichthys oculofrenum,porichthys oculofrenum,FALSE
154882,dicrolene multifilis,dicrolene multifilis,FALSE
154883,pelotretis flavilatus,pelotretis flavilatus,FALSE
154884,bathymaster derjugini,bathymaster derjugini,FALSE
154885,neomerinthe rotunda,neomerinthe erostris,FALSE
154886,synclidopus macleayanus,synclidopus macleayanus,FALSE
154887,psednos harteli,psednos harteli,FALSE
154888,pomacentrus wardi,pomacentrus wardi,FALSE
154889,pseudanthias ventralis,pseudanthias ventralis,FALSE
154890,coryphaenoides subserrulatus,coryphaenoides subserrulatus,FALSE
154891,cirrhilabrus lineatus,cirrhilabrus lineatus,TRUE
154892,eugerres axillaris,eugerres axillaris,FALSE
154893,solea triophthalma,pegusa triophthalma,FALSE
154894,alepocephalus owstoni,alepocephalus owstoni,FALSE
154895,chelidonichthys kumu,chelidonichthys kumu,FALSE
154896,patagonotothen kreffti,patagonotothen kreffti,FALSE
154898,eviota storthynx,eviota storthynx,FALSE
154899,uropterygius wheeleri,uropterygius wheeleri,FALSE
154900,nemipterus virgatus,nemipterus virgatus,FALSE
154901,gazza achlamys,gazza achlamys,FALSE
154903,xenomystax trucidans,xenomystax trucidans,FALSE
154904,halichoeres ornatissimus,halichoeres ornatissimus,TRUE
154905,lepturacanthus pantului,lepturacanthus pantului,FALSE
154906,brama dussumieri,brama dussumieri,FALSE
154907,cetomimus teevani,cetomimus teevani,FALSE
154908,normichthys herringi,normichthys herringi,FALSE
154909,eustomias albibulbus,eustomias albibulbus,FALSE
154910,apogon neotes,ostorhinchus neotes,FALSE
154911,coelorinchus aratrum,coelorinchus aratrum,FALSE
154912,apogon fleurieu,ostorhinchus fleurieu,FALSE
154913,leviprora inops,leviprora inops,FALSE
